FCS,HDDS,rCSI,HHS
3.644296242,2.072738586,-1.334629065,-0.764119266
-0.392951245,0.270984566,0.16493982,0.148982766
-0.57440057,0.871569239,1.289616484,0.148982766
-0.256864251,-0.329600108,-0.959736843,-0.764119266
-0.075414926,0.270984566,-1.084700917,1.062084797
2.374150965,0.871569239,-0.459880548,0.148982766
0.287483725,-0.329600108,0.914724263,-0.764119266
0.559657713,0.270984566,0.664796115,1.062084797
1.14936802,-0.930184781,-0.209952401,-0.764119266
-1.345560202,-0.930184781,-1.084700917,-0.764119266
-0.529038239,-0.329600108,-0.584844622,-0.764119266
-0.075414926,-0.329600108,-0.709808696,-0.764119266
-0.030052594,-1.530769454,-0.334916475,0.148982766
0.650382375,-0.329600108,0.914724263,2.88828886
1.285455014,0.270984566,-0.584844622,-0.764119266
-0.347588914,0.270984566,-0.459880548,1.062084797
0.196759062,0.871569239,0.039975747,-0.764119266
0.650382375,0.871569239,-0.584844622,-0.764119266
0.015309737,0.270984566,-1.334629065,-0.764119266
1.739078327,2.072738586,-1.334629065,-0.764119266
-0.619762901,-0.329600108,-0.209952401,1.062084797
-1.390922534,-0.930184781,1.039688336,-0.764119266
0.196759062,0.871569239,-0.084988327,-0.764119266
3.281397591,0.270984566,-1.209664991,-0.764119266
1.376179676,-0.329600108,-0.459880548,-0.764119266
2.827774278,2.072738586,-1.084700917,-0.764119266
-0.347588914,-0.329600108,0.789760189,1.062084797
4.007194892,0.871569239,-1.334629065,-0.764119266
-0.710487564,-0.329600108,0.16493982,0.148982766
0.922556363,1.472153912,-0.209952401,-0.764119266
1.285455014,0.270984566,-1.334629065,-0.764119266
-0.529038239,-1.530769454,0.039975747,1.975186829
3.009223604,1.472153912,-0.959736843,-0.764119266
0.015309737,-0.329600108,-0.83477277,-0.764119266
-1.25483554,-0.329600108,1.914436853,-0.764119266
0.650382375,0.871569239,-1.334629065,-0.764119266
0.015309737,0.270984566,-0.084988327,-0.764119266
-1.481647196,-0.930184781,1.039688336,0.148982766
-0.755849895,-0.930184781,0.039975747,1.062084797
-0.438313576,-0.329600108,-0.209952401,-0.764119266
-0.347588914,-0.329600108,0.539832042,1.975186829
1.739078327,0.871569239,-1.209664991,-0.764119266
2.737049616,2.072738586,-1.209664991,-0.764119266
1.376179676,0.871569239,-1.084700917,-0.764119266
0.650382375,0.270984566,-0.584844622,-0.764119266
-0.256864251,0.270984566,0.289903894,1.062084797
1.104005688,-0.329600108,0.16493982,-0.764119266
1.739078327,0.270984566,-1.334629065,-0.764119266
4.551542868,2.072738586,-1.334629065,-0.764119266
