"","","","","","","","","Survey","Question 1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q9","Q10","Q11","Q12","Q13","Q14","Q14"
,,,,,,,,"Question Text","Please be honest about your experience; it's really important to us. Thanks!\n"," In the moment right before you responded to this prompt…","WELL-BEING:  How were you feeling?","Which best describes what you were experiencing?","CLARITY: “What was the clarity of your inner speech?”","VALENCE: “What was the valence of your inner speech? If a stranger saw the content of your inner speech (i.e., just the actual words), how would they rate it?”","REACTION: “How much did you feel reactive to your inner speech?”","INTERESTING: “How interesting was the inner speech?”","“Which of these were you primarily experiencing? (Select one)”","“Which of these were you primarily experiencing? (Select one)”","CLARITY: “What was the clarity of your inner experience?”","VALENCE: “What was the valence of your inner experience? If a stranger saw the content of your inner experience (i.e., just the actual experience), how would they rate it?”","REACTION: “How much did you feel reactive to your inner experience?”","INTERESTING: “How interesting was the inner experience?”","CURRENT ACTIVITY: “Whether in-person or online, what type of activity were you primarily doing? (select one)”","CURRENT ACTIVITY: “Whether in-person or online, what type of activity were you primarily doing? (select one)”"
,,,,,,,,"Response Type","Instruction","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice","Multiple Choice"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Finished","Participant ID","Location - Lat","Location - Long","Choices",,"[ 1 = 'PRESENT: “My attention WAS related to my current activity, immediate surroundings, or inner experience”' 2 = 'NOT PRESENT: “My attention was NOT related to my current activity, immediate surroundings” '  ]","[ 1 = '-3: Very bad' 2 = '-2' 3 = '-1' 4 = '0: Neutral' 5 = '1' 6 = '2' 7 = '3: Very good'  ]","[ 1 = 'INNER SPEECH: “I was experiencing inner speech (talking to myself INTERNALLY)”' 2 = 'NO INNER SPEECH: “I was NOT experiencing inner speech (NOT talking to myself INTERNALLY)”'  ]","[ 1 = '1: Not at all clear' 2 = '2' 3 = '3' 4 = '4: Moderately clear' 5 = '5' 6 = '6' 7 = '7: Extremely clear'  ]","[ 1 = '-3: Very negative' 2 = '-2' 3 = '-1' 4 = '0: Neutral' 5 = '1' 6 = '2' 7 = '3: Very positive'  ]","[ 1 = '1: No reaction at all' 2 = '2' 3 = '3' 4 = '4: Moderate reaction' 5 = '5' 6 = '6' 7 = '7: Extreme reaction'  ]","[ 1 = '1: Not at all interesting' 2 = '2' 3 = '3' 4 = '4: Moderately interesting' 5 = '5' 6 = '6' 7 = '7: Extremely interesting'  ]","[ 1 = 'BODY: “I was experiencing body sensations, e.g. hunger” ' 2 = 'EMOTION : “I was experiencing emotions, e.g. sadness""' 3 = 'ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”' 4 = 'MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”' 5 = 'VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”' 6 = 'ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”' 7 = 'BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”' 8 = 'Other' ]","[ 1 = 'BODY: “I was experiencing body sensations, e.g. hunger” ' 2 = 'EMOTION : “I was experiencing emotions, e.g. sadness""' 3 = 'ENVIRONMENT : “I was noticing the environment, e.g. looking at the trees”' 4 = 'MUSIC/SOUNDS : “I was listening to music/podcast, e.g. with my earphones in, or imagining music/sounds”' 5 = 'VISUAL IMAGERY: “I was experiencing visual imagery, e.g. imagining my dog”' 6 = 'ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”' 7 = 'BLANK MIND:  “I was not thinking about anything at all-- my mind was completely blank”' 8 = 'Other' ]","[ 1 = '1: Not at all clear' 2 = '2' 3 = '3' 4 = '4: Moderately clear' 5 = '5' 6 = '6' 7 = '7: Extremely clear'  ]","[ 1 = '-3: Very negative' 2 = '-2' 3 = '-1' 4 = '0: Neutral' 5 = '1' 6 = '2' 7 = '3: Very positive'  ]","[ 1 = '1: No reaction at all' 2 = '2' 3 = '3' 4 = '4: Moderate reaction' 5 = '5' 6 = '6' 7 = '7: Extreme reaction'  ]","[ 1 = '1: Not at all Interesting' 2 = '2' 3 = '3' 4 = '4: Moderately interesting' 5 = '5' 6 = '6' 7 = '7: Extremely Interesting'  ]","[ 1 = 'Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)' 2 = 'Physical activity (e.g., exercising, sports, walking, bicycling, hiking) ' 3 = 'Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) ' 4 = 'Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)' 5 = 'Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)' 6 = 'Other' ]","[ 1 = 'Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)' 2 = 'Physical activity (e.g., exercising, sports, walking, bicycling, hiking) ' 3 = 'Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) ' 4 = 'Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)' 5 = 'Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)' 6 = 'Other' ]"
"03/30/2022 11:45AM","03/30/2022 11:47AM","03/30/2022 11:45AM - 03/30/2022 12:45PM",83.467,"Yes","624367be5748fb0ddb25c279","0.0","0.0","Participant 1",,2,3,1,6,3,3,4,,,,,,,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/01/2022 09:52AM","04/01/2022 09:53AM","04/01/2022 09:52AM - 04/01/2022 10:52AM",84.067,"Yes","61f7e41b3795b90d9cb2165a","0.0","0.0","Participant 2",,2,4,1,5,3,"4: Moderately able",4,,,,,,,6,"Commuting on the subway "
"04/01/2022 1:35PM","04/01/2022 1:36PM","04/01/2022 1:35PM - 04/01/2022 2:35PM",75.357,"Yes","61f7e41b3795b90d9cb2165a","0.0","0.0","Participant 2",,1,5,1,4,3,2,2,,,,,,,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
"04/01/2022 3:39PM","04/01/2022 3:40PM","04/01/2022 3:24PM - 04/01/2022 4:24PM",74.387,"Yes","61f7e41b3795b90d9cb2165a","0.0","0.0","Participant 2",,1,6,2,,,,,6,"ANOTHER PERSON: “I was experiencing another person, e.g. holding hands”",5,6,5,5,1,"Social activity (e.g., being with family, friends, or peers; phone calls or messages; attending a party or group outing)"
"04/03/2022 10:03AM","04/03/2022 10:04AM","04/03/2022 09:28AM - 04/03/2022 10:28AM",84.551,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,2,4,2,,,,,8,"Sleeping",3,4,1,1,3,"Restful activity (e.g., eating, resting, taking a nap, doing nothing, reading for fun, watching TV or videos, browsing the internet or social media) "
"04/03/2022 11:15AM","04/03/2022 11:16AM","04/03/2022 11:13AM - 04/03/2022 12:13PM",33.755,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,6,1,5,5,3,4,,,,,,,4,"Household activity (e.g., preparing meals, grocery shopping, household finances, cleaning or other chores)"
"04/03/2022 1:48PM","04/03/2022 1:49PM","04/03/2022 1:48PM - 04/03/2022 2:48PM",52.67,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,1,5,2,,,,,8,"Homework",5,7,5,2,5,"Cognitive activity (e.g., studying, homework, attending lecture, learning something new, puzzle solving)"
