StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,DON'T DISCUSS,pid,pid.check,personality_1,personality_2,personality_3,personality_4,personality_5,personality_6,personality_7,personality_8,personality_9,personality_10,personality_11,personality_12,personality_13,personality_14,personality_15,personality_16,personality_17,personality_18,personality_19,personality_20,personality_21,personality_22,personality_23,personality_24,personality_25,personality_26,personality_27,personality_28,personality_29,personality_30,personality_31,personality_32,personality_33,personality_34,personality_35,personality_36,personality_37,personality_38,personality_39,personality_40,personality_41,personality_42,personality_43,personality_44,personality_45,personality_46,personality_47,personality_48,personality_49,personality_50,personality_51,personality_52,personality_53,personality_54,personality_55,personality_56,personality_57,personality_58,personality_59,personality_60,personality_61,personality_62,ffmq_1,ffmq_2,ffmq_3,ffmq_4,ffmq_5,ffmq_6,ffmq_7,ffmq_8,ffmq_9,ffmq_10,ffmq_11,ffmq_12,ffmq_13,ffmq_14,ffmq_15,ffmq_16,age,gender,gender_6_TEXT,sex_at_birth,sexual_orientation_2,sexual_orientation_2_4_TEXT,ethnoracial,mixed_ethnoracial,ses_ladder,country_born,country_raised,country_reside,age_move_US,VAL1,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,"I agree not to discuss the contents of this study with ANYONE, because this will interfere with concurrent studies.","What is your PID (the nine digit UCSD student identifier number that begins with an “A” or “U”)?

Note: this response is used to automatically match data between different parts of the study and will NOT be accessible by the research team",Please enter your PID again,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I am not a worrier,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I like to have a lot of people around me,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I try to be courteous to everyone I meet,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I keep my belongings neat and clean,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - At times I feel bitter and resentful,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I laugh easily,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I think it’s interesting to learn and develop new hobbies,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - At times I bully or flatter people into doing what I want them to,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I'm pretty good about pacing myself so as to get things done on time,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - When I'm under a great deal of stress, sometimes I feel like I'm going to pieces",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I prefer jobs that let me work alone without being bothered by other people,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I am intrigued by the patterns I find in art and nature,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - Some people think I'm selfish and egotistical,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I often come into situations without being fully prepared,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I rarely feel lonely or blue,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I really enjoy talking to people,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I believe letting students hear controversial speakers can only confuse and mislead them,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - If someone starts a fight with me, I’m ready to fight back",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I try to perform all the tasks assigned to me conscientiously,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I often feel tense and jittery,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I like to be where the action is,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - Poetry has little or no effect on me,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I’m better than most people, and I know it",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I have a clear set of goals and work toward them in an orderly fashion,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - Sometimes I feel completely worthless,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I shy away from crowds,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - To show you are paying attention, please select Strongly Disagree",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I would have difficulty just letting my mind wander without control or guidance,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - When I’ve been insulted, I just try to forgive and forget",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I waste a lot of time before settling down to work,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I rarely feel fearful or anxious,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I often feel as if I'm bursting with energy,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I seldom notice the moods or feelings that different environments produce,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I tend to assume the best about people,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I work hard to accomplish my goals,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I often get angry at the way people treat me,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I am a cheerful, high-spirited person",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I experience a wide range of emotions or feelings,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - Some people think of me as cold and calculating,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - When I make a commitment, I can always be counted on to follow through","This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - Too often, when things go wrong, I get discouraged and feel like giving up",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I don’t get much pleasure from chatting with people,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - Sometimes when I am reading poetry or looking at a work of art, I feel a chill or wave of excitement",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I have no sympathy for beggars,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - Sometimes I'm not as dependable or reliable as I should be,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I am seldom sad or depressed,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - My life is fast-paced,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I have little interest in speculating on the nature of the universe or the human condition,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I generally try to be thoughtful and considerate,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - To show you are paying attention, please select Strongly Disagree",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I am a productive person who always gets the job done,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I often feel helpless and want someone else to solve my problems,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I am a very active person,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I have a lot of intellectual curiosity,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - If I don't like people, I let them know",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I never seem to be able to get organized,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - At times, I have been so ashamed I just want to hide",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I would rather go my own way than be a leader of others,This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I often enjoy playing with theories or abstract ideas,"This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - If necessary, I am willing to manipulate people to get what I want",This questionnaire contains 60 statements. Read each statement carefully and fill in the circle with the response that best represents your opinion. Make sure that your answer is in the correct box. - I strive for excellence in everything I do,"Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - When I take a shower or a bath, I stay alert to the sensations of water on my body","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I’m good at finding words to describe my feelings","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I don’t pay attention to what I’m doing because I’m daydreaming, worrying, or otherwise distracted","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I believe some of my thoughts are abnormal or bad and I shouldn't think that way","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - When I have distressing thoughts or images, I “step back"" and am aware of the thought or image without getting taken over by it","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I notice how foods and drinks affect my thoughts, bodily sensations, and emotions","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I have trouble thinking of the right words to express how I feel about things","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I do jobs or tasks automatically without being aware of what I'm doing","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I think some of my emotions are bad or inappropriate and I shouldn't feel them","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - When I have distressing thoughts or images I am able just to notice them without reacting","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I pay attention to sensations, such as the wind in my hair or sun on my face","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - Even when I’m feeling terribly upset I can find a way to put it into words","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I find myself doing things without paying attention.","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - I tell myself I shouldn’t be feeling the way I’m feeling.","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - When I have distressing thoughts or images I just notice them and let them go","Please use the scale provided to indicate how true the
below statements are of you. For each statement select the option that represents your
own opinion of what is generally true for you. - To show you are paying attention, please select ""Never or very rarely true""",What is your age?,What is your gender identity? - Selected Choice,What is your gender identity? - Other - Text,What sex were you assigned at birth (i.e. on your original birth certificate)?,"If you had to pick ONE of the following labels to describe your sexual orientation, which would you choose? - Selected Choice","If you had to pick ONE of the following labels to describe your sexual orientation, which would you choose? - Not listed (please specify) - Text",Which category best describes your ethnoracial background? (pick ONE),Please select all of the following ethnoracial backgrounds that you identify with.,"Imagine that this ladder shows how your society is set up. 


 
At the top of the ladder are the people who are the best off - they have the most money, the highest amount of schooling, and the jobs that bring the most respect. 

 

At the bottom of the ladder are the people who are the worst off - they have the least money, little or no education, no jobs or jobs that no one wants or respects. 


 

Please select the number of the rung that best represents where you think you stand on the ladder.",List of Countries,In which country did you primarily grow up?,In which country do you currently reside?,"If not born in the US, what age did you move to the US?",While filling out my responses:,Awareness,Observing,Nonreactivity,Nonjudgement,Describe,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID109""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID175_2""}","{""ImportId"":""QID175_3""}","{""ImportId"":""QID175_4""}","{""ImportId"":""QID175_5""}","{""ImportId"":""QID175_6""}","{""ImportId"":""QID175_7""}","{""ImportId"":""QID175_8""}","{""ImportId"":""QID175_9""}","{""ImportId"":""QID175_10""}","{""ImportId"":""QID175_11""}","{""ImportId"":""QID175_12""}","{""ImportId"":""QID175_13""}","{""ImportId"":""QID175_14""}","{""ImportId"":""QID175_15""}","{""ImportId"":""QID175_16""}","{""ImportId"":""QID175_17""}","{""ImportId"":""QID175_18""}","{""ImportId"":""QID175_19""}","{""ImportId"":""QID175_20""}","{""ImportId"":""QID175_21""}","{""ImportId"":""QID175_22""}","{""ImportId"":""QID175_23""}","{""ImportId"":""QID175_24""}","{""ImportId"":""QID175_25""}","{""ImportId"":""QID175_26""}","{""ImportId"":""QID175_27""}","{""ImportId"":""QID175_61""}","{""ImportId"":""QID175_28""}","{""ImportId"":""QID175_29""}","{""ImportId"":""QID175_30""}","{""ImportId"":""QID175_31""}","{""ImportId"":""QID175_32""}","{""ImportId"":""QID175_33""}","{""ImportId"":""QID175_34""}","{""ImportId"":""QID175_35""}","{""ImportId"":""QID175_36""}","{""ImportId"":""QID175_37""}","{""ImportId"":""QID175_38""}","{""ImportId"":""QID175_39""}","{""ImportId"":""QID175_40""}","{""ImportId"":""QID175_41""}","{""ImportId"":""QID175_42""}","{""ImportId"":""QID175_43""}","{""ImportId"":""QID175_44""}","{""ImportId"":""QID175_45""}","{""ImportId"":""QID175_46""}","{""ImportId"":""QID175_47""}","{""ImportId"":""QID175_48""}","{""ImportId"":""QID175_49""}","{""ImportId"":""QID175_62""}","{""ImportId"":""QID175_50""}","{""ImportId"":""QID175_51""}","{""ImportId"":""QID175_52""}","{""ImportId"":""QID175_53""}","{""ImportId"":""QID175_54""}","{""ImportId"":""QID175_55""}","{""ImportId"":""QID175_56""}","{""ImportId"":""QID175_57""}","{""ImportId"":""QID175_58""}","{""ImportId"":""QID175_59""}","{""ImportId"":""QID175_60""}","{""ImportId"":""QID177_1""}","{""ImportId"":""QID177_2""}","{""ImportId"":""QID177_3""}","{""ImportId"":""QID177_4""}","{""ImportId"":""QID177_5""}","{""ImportId"":""QID177_6""}","{""ImportId"":""QID177_7""}","{""ImportId"":""QID177_8""}","{""ImportId"":""QID177_9""}","{""ImportId"":""QID177_10""}","{""ImportId"":""QID177_11""}","{""ImportId"":""QID177_12""}","{""ImportId"":""QID177_13""}","{""ImportId"":""QID177_14""}","{""ImportId"":""QID177_15""}","{""ImportId"":""QID177_16""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID91_6_TEXT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID130""}","{""ImportId"":""QID130_4_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID106""}","{""ImportId"":""QID3""}","{""ImportId"":""SC_3lqBCZmcpC2rQY6""}","{""ImportId"":""SC_8cRSYMVMNUTlZtA""}","{""ImportId"":""SC_cu1J0yhajZkfzYG""}","{""ImportId"":""SC_9TAdDPJu1LYuJy6""}","{""ImportId"":""SC_1Og2WoT9aGXHHGS""}","{""ImportId"":""SC_5ihpWVQFCuAVULI""}","{""ImportId"":""SC_9t0yuAaYf1OHu9o""}","{""ImportId"":""SC_07D5wgG5g3WZVL8""}","{""ImportId"":""SC_6mc0sYOtXkI2hLg""}","{""ImportId"":""SC_2hrFs5hVWyc31UG""}","{""ImportId"":""id""}"
2022-03-29 13:55:45,2022-03-29 14:03:33,1,,100,468,1,2022-03-29 14:03:34,R_2b3qyNI2J3EICYf,,,,,32.8594970703125,-117.21240234375,preview,EN,1,4,asdfasdasd,asdfasdasd,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,4,0,0,0,0,0,0,0,0,0,0,
2022-03-31 15:31:55,2022-03-31 15:55:52,0,132.239.182.99,100,1436,1,2022-03-31 15:55:53,R_1psWNTH25fGsywh,,,,,32.842498779296875,-117.2483978271484375,anonymous,EN,1,4,AAAAAAAA,AAAAAAAA,0,2,2,2,3,3,3,3,3,2,3,2,2,3,3,3,2,2,2,3,3,3,2,3,3,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3,3,2,3,3,2,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,4,2,4,4,4,3,3,4,5,5,5,5,4,1,6,2,,2,1,,2,,10,2,2,2,16,5,6,10,12,8,9,41,38,38,30,41,
2022-04-01 04:41:58,2022-04-01 04:50:01,0,141.23.217.141,100,482,1,2022-04-01 04:50:02,R_2tFJ6wDGKfnHIeV,,,,,52.5196075439453125,13.4069061279296875,anonymous,EN,1,4,madeleine,madeleine,3,3,5,3,1,2,5,5,0,2,2,1,3,1,2,1,3,0,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,3,3,3,2,2,2,3,2,2,2,2,3,2,2,1,0,0,2,2,1,2,2,1,3,2,3,5,3,3,2,3,2,3,4,3,2,3,2,3,3,3,4,1,18,2,,2,1,,2,,7,32,189,65,13,1,10,8,9,10,8,44,37,42,39,35,
2022-04-01 19:22:22,2022-04-01 19:23:39,1,,100,77,1,2022-04-01 19:23:40,R_3nUHleBg3wlfuUr,,,,,32.8594970703125,-117.21240234375,preview,EN,1,4,asdfasdf,asdfasdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,6,0,0,0,0,0,0,0,0,0,0,
2022-04-01 19:29:30,2022-04-01 19:30:06,1,,100,35,1,2022-04-01 19:30:07,R_1jBeGYdws7HhNjt,,,,,32.8594970703125,-117.21240234375,preview,EN,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
2022-04-02 17:52:30,2022-04-02 18:07:34,0,72.197.26.243,100,904,1,2022-04-02 18:07:35,R_3foXPIGnAJPWXZZ,,,,,32.8466033935546875,-116.9770050048828125,anonymous,EN,1,4,A17158772,A17158772,0,2,2,5,3,1,3,3,0,2,3,0,1,0,2,1,3,1,1,3,2,2,3,2,3,3,2,0,1,1,2,0,1,0,3,3,1,2,5,0,5,1,0,0,2,1,2,3,0,5,0,3,1,1,2,1,1,1,2,1,1,3,5,4,3,3,4,5,2,3,2,4,5,3,4,2,3,1,9,1,,1,2,,1,,7,189,189,189,,1,8,15,11,11,11,40,46,41,49,38,40661
2022-04-03 15:03:17,2022-04-03 15:12:38,0,128.54.176.121,100,561,1,2022-04-03 15:12:39,R_5uyZQ0zsfMtr76F,,,,,32.8509063720703125,-117.2722015380859375,anonymous,EN,1,4,A17155948,A17155948,5,5,5,5,5,5,5,5,0,5,5,5,5,0,0,0,5,0,5,5,5,0,5,0,5,5,5,0,5,0,0,0,0,5,5,5,5,5,5,0,5,5,0,5,0,0,5,5,5,5,0,5,5,0,5,5,0,5,5,5,0,0,5,5,1,1,5,5,5,5,1,5,5,5,1,5,5,1,9,2,,2,1,,2,,3,80,189,189,8,1,11,15,15,11,11,44,56,36,48,52,40794
2022-04-04 00:23:37,2022-04-04 00:33:50,0,70.95.164.216,100,613,1,2022-04-04 00:33:51,R_1IbA176W6VBR1GV,,,,,32.8594970703125,-117.21240234375,anonymous,EN,1,4,A15775353,A15775353,0,1,3,5,3,1,3,3,0,1,3,5,1,0,1,0,2,1,5,3,3,3,1,1,1,3,5,0,1,1,5,0,1,1,3,3,5,1,5,3,5,5,3,1,0,1,0,1,1,5,0,2,3,1,3,0,1,3,3,3,0,5,3,4,3,2,2,1,2,5,2,3,4,3,5,5,2,1,8,2,,2,1,,3,,4,189,189,189,,1,5,8,7,9,11,45,42,27,48,52,42267
