"","","","","","","","","Survey","Question 1","Question 2","Question 3","Question 4","Question 5"
,,,,,,,,"Question Text","Thank you for participating in this study. On the next page, you will see a link to an online document, which displays the questions you are going to answer during each prompt in a hierarchical way. ","Please come back to this app and click ""next"" after you review the document:Survey Flowchart","The ExpiWell App will prompt you to answer questions 6 times per day, for 7 consecutive days, starting tomorrow. When answering questions, please respond based on your state directly before the prompt. We are interested in your immediate experience, not your experience 5 or 10 minutes in the past.One day after you complete all of the ExpiWell prompts, you will receive an invitation code for receiving your SONA credits. ","Important Notes:Do not respond to the prompts while you are driving, or while involved in any task that requires using your hands for safety. We do not want to endanger you, so please take caution!","Please input your UCSD student PID.Please double-check correct entry, as it's very important to our data collection. (Any identifiable information will be removed for data analysis.)"
,,,,,,,,"Response Type","Instruction","Instruction","Instruction","Instruction","Text"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Finished","Participant ID","Location - Lat","Location - Long","Choices",,,,,
"03/29/2022 1:15PM","03/29/2022 1:17PM","03/29/2022 09:00AM - 03/29/2022 9:59PM",142.005,"Yes","624367be5748fb0ddb25c279","0.0","0.0","Participant 1",,,,,"Test"
"03/31/2022 2:51PM","03/31/2022 2:54PM","03/31/2022 09:00AM - 03/31/2022 9:59PM",125.705,"Yes","61f7e41b3795b90d9cb2165a","0.0","0.0","Participant 2",,,,,"Madeleine "
"04/02/2022 5:04PM","04/02/2022 5:06PM","04/02/2022 09:00AM - 04/02/2022 9:59PM",90.894,"Yes","6248e428a789330da7928808","0.0","0.0","Participant 3",,,,,"A17158772"
"04/03/2022 2:10PM","04/03/2022 2:11PM","04/03/2022 09:00AM - 04/03/2022 9:59PM",52.686,"Yes","624a0d1da789330da79291b0","0.0","0.0","Participant 4",,,,,"A17155948"
"04/04/2022 09:42AM","04/04/2022 09:44AM","04/04/2022 09:00AM - 04/04/2022 9:59PM",94.226,"Yes","624aa1f4a789330da7929460","0.0","0.0","Participant 6",,,,,"A17151380"
"04/04/2022 5:23PM","04/04/2022 5:24PM","04/04/2022 09:00AM - 04/04/2022 9:59PM",62.817,"Yes","624b8a9ea789330da7929dfc",,,"Participant 7",,,,,"A15575239"
"04/04/2022 8:01PM","04/04/2022 8:03PM","04/04/2022 09:00AM - 04/04/2022 9:59PM",159.52,"Yes","624bb0a6a789330da7929e86","0.0","0.0","Participant 8",,,,,"A15959775"
"04/07/2022 3:05PM","04/07/2022 3:06PM","04/07/2022 09:00AM - 04/07/2022 9:59PM",52.436,"Yes","624f60147c231a51eb3c0eb8","0.0","0.0","Participant 9",,,,,"A16657377"
"04/09/2022 12:00PM","04/09/2022 12:03PM","04/09/2022 09:00AM - 04/09/2022 9:59PM",183.06,"Yes","625153e496024c588cb286d1","0.0","0.0","Participant 10",,,,,"A16404746"
"04/10/2022 5:48PM","04/10/2022 5:49PM","04/10/2022 09:00AM - 04/10/2022 9:59PM",72.811,"Yes","62537ab396024c588cb28d42","0.0","0.0","Participant 11",,,,,"A15389965"
"04/12/2022 2:15PM","04/12/2022 2:16PM","04/12/2022 09:00AM - 04/12/2022 9:59PM",77.708,"Yes","6255ebab96024c588cb2971b","0.0","0.0","Participant 12",,,,,"A15595325"
"04/12/2022 6:10PM","04/12/2022 6:12PM","04/12/2022 09:00AM - 04/12/2022 9:59PM",98.017,"Yes","625622a296024c588cb29827",,,"Participant 13",,,,,"A16598939"
